City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,fort st. john,56.2499,-120.8529,40.89,56,40,3.44,CA,1741045108
181,chortkiv,49.0171,25.798,35.33,81,10,14.85,UA,1741045319
182,petropavlovsk-kamchatsky,53.0452,158.6483,23.59,50,75,2.24,RU,1741045324
183,khandyga,62.6667,135.6,-17.64,94,100,0.31,RU,1741045328
184,warin chamrap,15.1932,104.8628,80.42,74,45,5.75,TH,1741045332
185,sungai penuh,-2.0833,101.3833,66.54,98,99,1.14,ID,1741045336
186,papao,-17.75,-149.55,89.28,73,89,8.77,PF,1741045340
187,campbellton,48.0075,-66.6727,9.05,97,81,4.18,CA,1741045345
188,nagqu,31.5,92.0,18.18,25,0,4.07,CN,1741045349
189,aasiaat,68.7098,-52.8699,-4.95,97,61,7.36,GL,1741045353
190,susuman,62.7833,148.1667,-14.85,89,100,3.31,RU,1741045357
191,kaoma,-14.7833,24.8,64.96,95,100,2.66,ZM,1741045361
192,portland,45.5234,-122.6762,54.05,76,100,15.01,US,1741045125
193,kuanda,56.3161,116.0806,-5.51,98,99,1.25,RU,1741045369
194,san patricio,28.017,-97.5169,76.95,76,96,18.41,US,1741045374
195,sabang,5.8933,95.3214,81.99,76,62,3.11,ID,1741045378
196,guarapari,-20.6667,-40.4975,75.31,85,7,3.62,BR,1741045382
197,bedburg,50.9926,6.5713,36.88,84,40,0.0,DE,1741045386
198,namibe,-15.1961,12.1522,72.9,83,81,5.14,AO,1741045390
199,nabire,-3.3667,135.4833,82.56,74,95,2.01,ID,1741045394
200,iskateley,67.6803,53.1512,24.13,95,100,14.25,RU,1741045398
201,moyobamba,-6.05,-76.9667,67.44,98,91,0.74,PE,1741045407
202,el calafate,-50.3408,-72.2768,47.89,67,46,8.46,AR,1741045411
203,porto novo,6.4965,2.6036,82.09,84,35,10.89,BJ,1741045193
204,la passe,45.5549,-0.8967,45.39,80,65,8.34,FR,1741045419
205,tuburan,6.6439,122.2736,81.55,76,92,2.62,PH,1741045423
206,atafu village,-8.5421,-172.5159,83.5,68,11,11.72,TK,1741045427
207,aldan,58.6031,125.3894,-11.97,97,99,3.8,RU,1741045432
208,san clemente del tuyu,-36.3569,-56.7235,72.84,90,100,3.29,AR,1741045436
209,eenhana,-17.4667,16.3333,68.22,85,100,3.09,NA,1741045440
210,bulayevo,54.9056,70.4439,15.42,91,100,8.32,KZ,1741045449
211,qamdo,31.1667,97.2333,23.97,59,54,7.25,CN,1741045453
212,severo-yeniseyskiy,60.3725,93.0408,9.14,97,98,3.96,RU,1741045457
213,fereydunshahr,32.941,50.121,14.88,32,93,5.75,IR,1741045461
214,belo sur tsiribihina,-19.7,44.55,74.01,95,99,3.4,MG,1741045465
215,fortuna,40.5982,-124.1573,52.93,84,40,10.36,US,1741045469
216,rongelap,11.1635,166.8941,80.46,77,28,19.08,MH,1741045473
217,porto velho,-8.7619,-63.9039,77.05,94,75,3.44,BR,1741045277
218,yemetsk,63.4721,41.7941,25.34,93,100,10.74,RU,1741045482
219,ongjin,37.9347,125.3619,33.84,61,100,19.1,KP,1741045486
220,labytnangi,66.6572,66.4183,-9.71,100,100,2.82,RU,1741045490
221,sisimiut,66.9395,-53.6735,-10.08,96,23,2.53,GL,1741045494
222,beykonak,36.3257,30.303,57.04,69,83,6.71,TR,1741045499
223,peniche,39.3558,-9.3811,53.11,91,46,7.81,PT,1741045504
224,raseiniai,55.3736,23.1217,39.79,80,95,21.03,LT,1741045508
225,amungan,15.3652,119.9582,84.07,59,93,2.01,PH,1741045512
226,san juan de uraba,8.7592,-76.5297,79.54,78,64,8.05,CO,1741045517
227,kaspiysk,42.8816,47.6392,35.78,75,100,22.37,RU,1741045521
228,christchurch,-43.5333,172.6333,57.94,84,100,5.75,NZ,1741045526
229,nossa senhora das dores,-10.4917,-37.1933,74.3,83,14,4.03,BR,1741045530
230,masjed soleyman,31.9364,49.3039,55.67,29,91,2.66,IR,1741045534
231,wang nam yen,13.5033,102.1812,76.78,90,88,3.8,TH,1741045538
232,longyearbyen,78.2186,15.6401,19.24,68,40,24.16,SJ,1741045542
233,la sarre,48.8002,-79.1996,27.64,96,100,8.81,CA,1741045547
234,polyarnyy,69.1989,33.4478,27.52,89,100,12.21,RU,1741045551
235,tura,25.5198,90.2201,61.56,36,0,2.24,IN,1741045555
236,soba,10.9813,8.0575,74.53,21,14,7.11,NG,1741045559
237,sinabang,2.4803,96.3801,78.8,82,83,2.24,ID,1741045563
238,farafangana,-22.8167,47.8333,78.93,82,99,3.36,MG,1741045567
239,keflavik,64.0049,-22.5624,43.23,100,100,24.16,IS,1741045571
240,hobyo,5.3505,48.5268,77.95,81,27,14.65,SO,1741045575
241,guymon,36.6828,-101.4816,68.56,11,49,35.5,US,1741045580
242,utrik,11.2278,169.8474,80.47,78,8,21.43,MH,1741045584
243,taulaga,-11.0553,-171.0883,83.5,71,70,12.08,AS,1741045588
244,ambilobe,-13.2,49.05,74.79,97,47,2.42,MG,1741045592
245,dunedin,-45.8742,170.5036,62.8,53,47,7.0,NZ,1741045533
246,gerash,27.6652,54.1371,50.23,16,23,4.03,IR,1741045601
247,happy valley-goose bay,53.3168,-60.3315,-0.09,65,75,4.61,CA,1741045605
248,tralee,52.2704,-9.7026,38.95,93,70,4.74,IE,1741045434
249,fuerte olimpo,-21.0415,-57.8738,78.85,57,75,3.94,PY,1741045613
250,oum hadjer,13.2954,19.6966,81.05,15,4,11.03,TD,1741045617
251,kidal,18.4411,1.4078,82.67,10,100,11.34,ML,1741045621
252,acapulco de juarez,16.8634,-99.8901,84.02,65,40,10.36,MX,1741045571
253,okhotsk,59.3833,143.3,-8.32,76,2,17.76,RU,1741045630
254,kiunga,-6.1219,141.2906,83.88,72,66,3.04,PG,1741045638
255,nova sintra,14.8667,-24.7167,69.94,69,99,24.07,CV,1741045642
256,cadale,2.7603,46.3222,78.24,81,69,13.06,SO,1741045646
257,vilyuchinsk,52.9306,158.4028,25.07,79,99,10.2,RU,1741045650
258,holualoa,19.6228,-155.9522,78.64,74,20,12.66,US,1741045654
259,bhimunipatnam,17.8833,83.4333,78.31,75,10,4.68,IN,1741045612
